contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
94 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 linear problems to be resolved
linear problem come from test of commons.math lib
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
10         58         46         0          0          2116       46             -------------------- 100.00
20         58         46         0          0          2116       46             -------------------- 100.00
50         58         46         0          0          2116       46             -------------------- 100.00
2          59         46         0          0          2118       46             -------------------- 100.00
5          59         46         0          0          2118       46             -------------------- 100.00
10         59         46         0          0          2118       46             -------------------- 100.00
20         59         46         0          0          2118       46             -------------------- 100.00
50         59         46         0          0          2118       46             -------------------- 100.00
2          61         13         0          0          169        13             -------------------- 100.00
5          61         13         0          0          169        13             -------------------- 100.00
10         61         13         0          0          169        13             -------------------- 100.00
20         61         13         0          0          169        13             -------------------- 100.00
50         61         13         0          0          169        13             -------------------- 100.00
2          62         27         0          0          729        27             -------------------- 100.00
5          62         27         0          0          727        27             -------------------- 100.00
10         62         27         0          0          727        27             -------------------- 100.00
20         62         27         0          0          727        27             -------------------- 100.00
50         62         27         0          0          727        27             -------------------- 100.00
2          63         237        0          0          56091      237            -------------------- 100.00
5          63         237        0          0          55779      237            -------------------- 100.00
10         63         237        0          0          55158      237            -------------------- 100.00
20         63         237        0          0          55158      237            -------------------- 100.00
50         63         237        0          0          55158      237            -------------------- 100.00
2          64         185        0          26         41900      211            ------------------ 87.68   
5          64         107        0          104        33937      211            ----------- 50.71          
10         64         0          0          211        22366      211             0.00                      
20         64         0          0          211        22366      211             0.00                      
50         64         0          0          211        22366      211             0.00                      
2          65         211        0          0          44505      211            -------------------- 100.00
5          65         147        0          64         37177      211            -------------- 69.67       
10         65         99         0          112        34449      211            ---------- 46.92           
20         65         67         0          144        30945      211            ------- 31.75              
50         65         0          0          211        22366      211             0.00                      
2          66         185        0          26         41902      211            ------------------ 87.68   
5          66         107        0          104        33937      211            ----------- 50.71          
10         66         0          0          211        22366      211             0.00                      
20         66         0          0          211        22366      211             0.00                      
50         66         0          0          211        22366      211             0.00                      
2          67         211        0          0          44505      211            -------------------- 100.00
5          67         211        0          0          44505      211            -------------------- 100.00
10         67         211        0          0          44505      211            -------------------- 100.00
20         67         211        0          0          44505      211            -------------------- 100.00
50         67         211        0          0          44505      211            -------------------- 100.00
2          68         211        0          0          44505      211            -------------------- 100.00
5          68         211        0          0          44505      211            -------------------- 100.00
10         68         211        0          0          44505      211            -------------------- 100.00
20         68         211        0          0          44505      211            -------------------- 100.00
50         68         211        0          0          44505      211            -------------------- 100.00
2          69         211        0          0          44505      211            -------------------- 100.00
5          69         211        0          0          44505      211            -------------------- 100.00
10         69         211        0          0          44505      211            -------------------- 100.00
20         69         211        0          0          44505      211            -------------------- 100.00
50         69         211        0          0          44505      211            -------------------- 100.00
2          70         211        0          0          44521      211            -------------------- 100.00
5          70         211        0          0          44521      211            -------------------- 100.00
10         70         211        0          0          44521      211            -------------------- 100.00
20         70         211        0          0          44521      211            -------------------- 100.00
50         70         211        0          0          44521      211            -------------------- 100.00
2          71         8          0          0          63         8              -------------------- 100.00
5          71         5          0          3          60         8              ------------- 62.50        
10         71         0          0          8          36         8               0.00                      
20         71         0          0          8          36         8               0.00                      
50         71         0          0          8          36         8               0.00                      
2          73         0          0          1          1          1               0.00                      
5          73         0          0          1          1          1               0.00                      
10         73         0          0          1          1          1               0.00                      
20         73         0          0          1          1          1               0.00                      
50         73         0          0          1          1          1               0.00                      
2          74         12         0          0          144        12             -------------------- 100.00
5          74         12         0          0          144        12             -------------------- 100.00
10         74         12         0          0          144        12             -------------------- 100.00
20         74         12         0          0          144        12             -------------------- 100.00
50         74         12         0          0          144        12             -------------------- 100.00
2          75         31         0          0          959        31             -------------------- 100.00
5          75         22         0          9          787        31             --------------- 70.97      
10         75         13         0          18         732        31             --------- 41.94            
20         75         7          0          24         646        31             ----- 22.58                
50         75         0          0          31         496        31              0.00                      
2          76         31         0          0          961        31             -------------------- 100.00
5          76         31         0          0          974        31             -------------------- 100.00
10         76         31         0          0          973        31             -------------------- 100.00
20         76         31         0          0          966        31             -------------------- 100.00
50         76         31         0          0          963        31             -------------------- 100.00
2          77         31         0          0          961        31             -------------------- 100.00
5          77         31         0          0          961        31             -------------------- 100.00
10         77         31         0          0          961        31             -------------------- 100.00
20         77         31         0          0          955        31             -------------------- 100.00
50         77         31         0          0          955        31             -------------------- 100.00
2          78         31         0          0          961        31             -------------------- 100.00
5          78         31         0          0          971        31             -------------------- 100.00
10         78         31         0          0          970        31             -------------------- 100.00
20         78         31         0          0          956        31             -------------------- 100.00
50         78         31         0          0          953        31             -------------------- 100.00
2          80         14         0          0          196        14             -------------------- 100.00
5          80         14         0          0          214        14             -------------------- 100.00
10         80         14         0          0          216        14             -------------------- 100.00
20         80         14         0          0          217        14             -------------------- 100.00
50         80         14         0          0          221        14             -------------------- 100.00
2          81         4          0          10         204        14             ------ 28.57               
5          81         7          2          5          178        14             ---------- 50.00           
10         81         4          2          8          172        14             ------ 28.57               
20         81         4          0          10         142        14             ------ 28.57               
50         81         2          0          12         112        14             --- 14.29                  
2          82         2          0          10         143        12             ---- 16.67                 
5          82         5          2          5          126        12             --------- 41.67            
10         82         2          2          8          117        12             ---- 16.67                 
20         82         2          0          10         98         12             ---- 16.67                 
50         82         0          0          12         78         12              0.00                      
2          83         0          0          33         561        33              0.00                      
5          83         0          0          33         561        33              0.00                      
10         83         0          0          33         561        33              0.00                      
20         83         0          0          33         561        33              0.00                      
50         83         0          0          33         561        33              0.00                      
2          84         8          2          23         759        33             ----- 24.24                
5          84         4          5          24         743        33             --- 12.12                  
10         84         4          2          27         688        33             --- 12.12                  
20         84         1          0          32         572        33             - 3.03                     
50         84         0          0          33         561        33              0.00                      
2          85         0          0          1          1          1               0.00                      
5          85         0          0          1          1          1               0.00                      
10         85         0          0          1          1          1               0.00                      
20         85         0          0          1          1          1               0.00                      
50         85         0          0          1          1          1               0.00                      
2          86         1          0          0          1          1              -------------------- 100.00
5          86         1          0          0          1          1              -------------------- 100.00
10         86         1          0          0          1          1              -------------------- 100.00
20         86         1          0          0          1          1              -------------------- 100.00
50         86         1          0          0          1          1              -------------------- 100.00
2          88         1          0          0          1          1              -------------------- 100.00
5          88         1          0          0          1          1              -------------------- 100.00
10         88         1          0          0          1          1              -------------------- 100.00
20         88         1          0          0          1          1              -------------------- 100.00
50         88         1          0          0          1          1              -------------------- 100.00
2          89         33         0          0          1086       33             -------------------- 100.00
5          89         33         0          0          1074       33             -------------------- 100.00
10         89         33         0          0          1034       33             -------------------- 100.00
20         89         33         0          0          879        33             -------------------- 100.00
50         89         33         0          0          561        33             -------------------- 100.00
2          90         32         0          1          1089       33             -------------------- 96.97 
5          90         32         0          1          1089       33             -------------------- 96.97 
10         90         32         0          1          1089       33             -------------------- 96.97 
20         90         32         0          1          1089       33             -------------------- 96.97 
50         90         32         0          1          1089       33             -------------------- 96.97 
2          92         30         0          2          1023       32             ------------------- 93.75  
5          92         27         0          5          1014       32             ----------------- 84.38    
10         92         22         0          10         979        32             -------------- 68.75       
20         92         12         0          20         834        32             -------- 37.50             
50         92         0          0          32         528        32              0.00                      
2          93         32         0          0          1024       32             -------------------- 100.00
5          93         32         0          0          1024       32             -------------------- 100.00
10         93         32         0          0          1024       32             -------------------- 100.00
20         93         32         0          0          1024       32             -------------------- 100.00
50         93         32         0          0          1024       32             -------------------- 100.00
2          94         9          0          23         676        32             ------ 28.13               
5          94         9          0          23         676        32             ------ 28.13               
10         94         9          0          23         676        32             ------ 28.13               
20         94         8          0          24         662        32             ----- 25.00                
50         94         8          0          24         662        32             ----- 25.00                
2          95         32         0          0          1024       32             -------------------- 100.00
5          95         32         0          0          1024       32             -------------------- 100.00
10         95         32         0          0          1024       32             -------------------- 100.00
20         95         32         0          0          1024       32             -------------------- 100.00
50         95         32         0          0          1024       32             -------------------- 100.00
2          96         0          0          32         528        32              0.00                      
5          96         0          0          32         528        32              0.00                      
10         96         0          0          32         528        32              0.00                      
20         96         0          0          32         528        32              0.00                      
50         96         0          0          32         528        32              0.00                      
2          97         46         0          0          2146       46             -------------------- 100.00
5          97         46         0          0          2177       46             -------------------- 100.00
10         97         46         0          0          2158       46             -------------------- 100.00
20         97         41         0          5          2142       46             ------------------ 89.13   
50         97         12         0          34         1461       46             ------ 26.09               
2          98         27         3          16         1835       46             ------------ 58.70         
5          98         8          8          30         1625       46             ---- 17.39                 
10         98         17         5          24         1548       46             -------- 36.96             
20         98         18         0          28         1567       46             -------- 39.13             
50         98         6          1          39         1334       46             --- 13.04                  
2          99         10         2          34         1540       46             ----- 21.74                
5          99         9          7          30         1493       46             ---- 19.57                 
10         99         6          4          36         1400       46             --- 13.04                  
20         99         3          0          43         1176       46             -- 6.52                    
50         99         0          0          46         1081       46              0.00                      
2          101        20         7          19         1730       46             --------- 43.48            
5          101        8          13         25         1648       46             ---- 17.39                 
10         101        13         7          26         1664       46             ------ 28.26               
20         101        18         3          25         1675       46             -------- 39.13             
50         101        3          0          43         1267       46             -- 6.52                    
2          102        10         2          34         1540       46             ----- 21.74                
5          102        9          7          30         1493       46             ---- 19.57                 
10         102        6          4          36         1400       46             --- 13.04                  
20         102        3          0          43         1176       46             -- 6.52                    
50         102        0          0          46         1081       46              0.00                      
2          103        1          0          0          1          1              -------------------- 100.00
5          103        1          0          0          1          1              -------------------- 100.00
10         103        1          0          0          1          1              -------------------- 100.00
20         103        1          0          0          1          1              -------------------- 100.00
50         103        1          0          0          1          1              -------------------- 100.00
2          104        0          0          1          1          1               0.00                      
5          104        0          0          1          1          1               0.00                      
10         104        1          0          0          1          1              -------------------- 100.00
20         104        0          0          1          1          1               0.00                      
50         104        0          0          1          1          1               0.00                      
2          105        0          0          1          1          1               0.00                      
5          105        0          0          1          1          1               0.00                      
10         105        0          0          1          1          1               0.00                      
20         105        0          0          1          1          1               0.00                      
50         105        0          0          1          1          1               0.00                      
2          106        1          0          0          1          1              -------------------- 100.00
5          106        1          0          0          1          1              -------------------- 100.00
10         106        1          0          0          1          1              -------------------- 100.00
20         106        1          0          0          1          1              -------------------- 100.00
50         106        1          0          0          1          1              -------------------- 100.00
