contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
89 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
2          77         1          0          0          1          1              -------------------- 100.00
5          77         1          0          0          1          1              -------------------- 100.00
10         77         1          0          0          1          1              -------------------- 100.00
20         77         1          0          0          1          1              -------------------- 100.00
50         77         1          0          0          1          1              -------------------- 100.00
2          78         1          0          0          1          1              -------------------- 100.00
5          78         1          0          0          1          1              -------------------- 100.00
10         78         1          0          0          1          1              -------------------- 100.00
20         78         1          0          0          1          1              -------------------- 100.00
50         78         1          0          0          1          1              -------------------- 100.00
2          79         1          0          0          1          1              -------------------- 100.00
5          79         1          0          0          1          1              -------------------- 100.00
10         79         1          0          0          1          1              -------------------- 100.00
20         79         1          0          0          1          1              -------------------- 100.00
50         79         1          0          0          1          1              -------------------- 100.00
2          80         0          1          0          1          1               0.00                      
5          80         0          1          0          1          1               0.00                      
10         80         0          1          0          1          1               0.00                      
20         80         0          1          0          1          1               0.00                      
50         80         0          1          0          1          1               0.00                      
2          81         9          1          0          97         10             ------------------ 90.00   
5          81         6          4          0          85         10             ------------ 60.00         
10         81         2          8          0          55         10             ---- 20.00                 
20         81         2          8          0          55         10             ---- 20.00                 
50         81         2          8          0          55         10             ---- 20.00                 
2          82         9          0          1          100        10             ------------------ 90.00   
5          82         9          0          1          100        10             ------------------ 90.00   
10         82         9          0          1          100        10             ------------------ 90.00   
20         82         9          0          1          100        10             ------------------ 90.00   
50         82         9          0          1          100        10             ------------------ 90.00   
2          84         9          0          0          81         9              -------------------- 100.00
5          84         8          1          0          81         9              ------------------ 88.89   
10         84         5          4          0          81         9              ------------ 55.56         
20         84         5          4          0          81         9              ------------ 55.56         
50         84         5          4          0          81         9              ------------ 55.56         
2          85         90         0          0          8073       90             -------------------- 100.00
5          85         84         6          0          7965       90             ------------------- 93.33  
10         85         68         22         0          7695       90             ---------------- 75.56     
20         85         68         22         0          7695       90             ---------------- 75.56     
50         85         68         22         0          7695       90             ---------------- 75.56     
2          86         81         0          9          7740       90             ------------------ 90.00   
5          86         81         0          9          7740       90             ------------------ 90.00   
10         86         81         0          9          7740       90             ------------------ 90.00   
20         86         81         0          9          7740       90             ------------------ 90.00   
50         86         81         0          9          7740       90             ------------------ 90.00   
2          88         39         24         18         6408       81             ---------- 48.15           
5          88         21         15         45         5571       81             ------ 25.93               
10         88         0          0          81         3321       81              0.00                      
20         88         0          0          81         3321       81              0.00                      
50         88         0          0          81         3321       81              0.00                      
2          89         41         22         18         5904       81             ----------- 50.62          
5          89         21         15         45         4851       81             ------ 25.93               
10         89         0          0          81         3321       81              0.00                      
20         89         0          0          81         3321       81              0.00                      
50         89         0          0          81         3321       81              0.00                      
2          90         8          65         8          6221       81             -- 9.88                    
5          90         3          58         20         5855       81             - 3.70                     
10         90         0          0          81         3321       81              0.00                      
20         90         0          0          81         3321       81              0.00                      
50         90         0          0          81         3321       81              0.00                      
2          91         36         0          45         4761       81             --------- 44.44            
5          91         36         0          45         4761       81             --------- 44.44            
10         91         36         0          45         4761       81             --------- 44.44            
20         91         36         0          45         4761       81             --------- 44.44            
50         91         36         0          45         4761       81             --------- 44.44            
2          92         35         1          45         4761       81             --------- 43.21            
5          92         36         0          45         4761       81             --------- 44.44            
10         92         36         0          45         4761       81             --------- 44.44            
