contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
143 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
20 list of 100 number
Random numbers generated with 23 as seed
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
2          64         7920       0          0          3136320    7920           -------------------- 100,00
5          64         7920       0          0          3136320    7920           -------------------- 100,00
10         64         7920       0          0          3136320    7920           -------------------- 100,00
20         64         7920       0          0          3136320    7920           -------------------- 100,00
50         64         7920       0          0          3136320    7920           -------------------- 100,00
2          65         7880       0          40         3120540    7920           -------------------- 99,49 
5          65         7820       0          100        3097020    7920           -------------------- 98,74 
10         65         7720       0          200        3058220    7920           -------------------- 97,47 
20         65         7520       0          400        2982120    7920           ------------------- 94,95  
50         65         6920       0          1000       2765820    7920           ------------------ 87,37   
2          66         7920       0          0          3136320    7920           -------------------- 100,00
5          66         7920       0          0          3136320    7920           -------------------- 100,00
10         66         7920       0          0          3136320    7920           -------------------- 100,00
20         66         7920       0          0          3136320    7920           -------------------- 100,00
50         66         7920       0          0          3136320    7920           -------------------- 100,00
2          67         7920       0          0          3136320    7920           -------------------- 100,00
5          67         7920       0          0          3136320    7920           -------------------- 100,00
10         67         7920       0          0          3136320    7920           -------------------- 100,00
20         67         7920       0          0          3136320    7920           -------------------- 100,00
50         67         7920       0          0          3136320    7920           -------------------- 100,00
2          68         7920       0          0          3136320    7920           -------------------- 100,00
5          68         7920       0          0          3136320    7920           -------------------- 100,00
10         68         7920       0          0          3136320    7920           -------------------- 100,00
20         68         7920       0          0          3136320    7920           -------------------- 100,00
50         68         7920       0          0          3136320    7920           -------------------- 100,00
2          69         7920       0          0          3136320    7920           -------------------- 100,00
5          69         7920       0          0          3136320    7920           -------------------- 100,00
10         69         7920       0          0          3136320    7920           -------------------- 100,00
20         69         7920       0          0          3136320    7920           -------------------- 100,00
50         69         7920       0          0          3136320    7920           -------------------- 100,00
2          70         7920       0          0          3136320    7920           -------------------- 100,00
5          70         7920       0          0          3136320    7920           -------------------- 100,00
10         70         7920       0          0          3136320    7920           -------------------- 100,00
20         70         7920       0          0          3136320    7920           -------------------- 100,00
50         70         7920       0          0          3136320    7920           -------------------- 100,00
2          71         7920       0          0          3136320    7920           -------------------- 100,00
5          71         7920       0          0          3136320    7920           -------------------- 100,00
10         71         7920       0          0          3136320    7920           -------------------- 100,00
20         71         7920       0          0          3136320    7920           -------------------- 100,00
50         71         7920       0          0          3136320    7920           -------------------- 100,00
2          72         7920       0          0          3136320    7920           -------------------- 100,00
5          72         7920       0          0          3136320    7920           -------------------- 100,00
10         72         7920       0          0          3136320    7920           -------------------- 100,00
20         72         7920       0          0          3136320    7920           -------------------- 100,00
50         72         7920       0          0          3136320    7920           -------------------- 100,00
2          73         7920       0          0          3136320    7920           -------------------- 100,00
5          73         7920       0          0          3136320    7920           -------------------- 100,00
10         73         7920       0          0          3136320    7920           -------------------- 100,00
20         73         7920       0          0          3136320    7920           -------------------- 100,00
50         73         7920       0          0          3136320    7920           -------------------- 100,00
2          74         3969       0          3951       2346750    7920           ----------- 50,11          
5          74         1964       0          5956       1955720    7920           ----- 24,80                
10         74         1972       0          5948       1952569    7920           ----- 24,90                
20         74         1986       0          5934       1970815    7920           ------ 25,08               
50         74         991        0          6929       1769413    7920           --- 12,51                  
2          75         0          0          7920       1572120    7920            0,00                      
5          75         0          0          7920       1572120    7920            0,00                      
10         75         0          0          7920       1572120    7920            0,00                      
20         75         0          0          7920       1572120    7920            0,00                      
50         75         0          0          7920       1572120    7920            0,00                      
2          76         7920       0          0          3136320    7920           -------------------- 100,00
5          76         7920       0          0          3136320    7920           -------------------- 100,00
10         76         7920       0          0          3136320    7920           -------------------- 100,00
20         76         7920       0          0          3136320    7920           -------------------- 100,00
50         76         7920       0          0          3136320    7920           -------------------- 100,00
2          77         7920       0          0          3136320    7920           -------------------- 100,00
5          77         7920       0          0          3136320    7920           -------------------- 100,00
10         77         7920       0          0          3136320    7920           -------------------- 100,00
20         77         7920       0          0          3136320    7920           -------------------- 100,00
